Date,Team,Opp,Shots/90,OppShotsA/90,SoT/90,Opp_SoTA/90,Win_Odds,CS_Odds,Odds_GF,OddsShark_GF,FiveThirtyEight_Odds,Opp_Odds,Opp_CS_Odds,Opp_Odds_INV,Opp_CS_Odds_INV,Opp_FiveThirtyEight_Odds,Opp_FiveThirtyEight_Odds_INV,Real_SoT,Real_Shots,Real_Goals,SoT%
9/26/20,Man United,Brighton,17,8,4,2,52.97,38.4,1.79,2.2,54,20,19.2,80,80.8,21,79,2,6,3,0.333
9/26/20,Crystal Palace,Everton,9.5,7.5,3.5,4.5,24.62,25.6,1.14,0.6,33,44.57,44.57,55.43,55.43,39,61,1,8,1,0.125
9/26/20,Everton,Crystal Palace,15.5,13,6,4.5,44.57,38.4,1.54,1.8,39,24.62,24.62,75.38,75.38,33,67,4,9,2,0.444
9/26/20,West Brom,Chelsea,6.5,15.5,2.5,4,10.11,12,0.91,0,15,68.57,48,31.43,52,65,35,3,9,3,0.333
9/26/20,Chelsea,West Brom,6.5,15,3,6,68.57,48,2.16,3,65,10.11,12,89.89,88,15,85,11,24,3,0.458
9/26/20,Burnley,Southampton,17,7,5,4.5,29.09,27.43,1.24,1,40,39.8,39.8,60.2,60.2,33,67,2,10,0,0.2
9/26/20,Southampton,Burnley,11,14,5,3,39.8,34.91,1.46,1.5,33,29.09,29.09,70.91,70.91,40,60,1,5,1,0.2
9/27/20,Sheffield United,Leeds,6,18,0.5,4.5,34.91,28.24,1.39,1.2,45,35.56,28.24,64.44,71.76,28,72,3,13,0,0.231
9/27/20,Leeds,Sheffield United,7.5,14.5,4.5,3,35.56,28.24,1.43,1.4,28,34.91,28.24,65.09,71.76,45,55,9,18,1,0.5
9/27/20,Tottenham,Newcastle,9.5,14,5.5,4,64,45.71,2.05,2.4,60,12.8,12.8,87.2,87.2,17,83,12,24,1,0.5
9/27/20,Newcastle,Tottenham,11,14.5,1.5,5,12.8,14.77,0.96,0.2,17,64,64,36,36,60,40,0,5,1,0
9/27/20,Man City,Leicester,13,11.5,8,3,72.96,43.64,2.79,3.6,75,8.73,8.73,91.27,91.27,9,91,5,16,2,0.313
9/27/20,Leicester,Man City,11.5,10,5.5,1,8.73,8.73,0.99,0,9,72.96,43.64,27.04,56.36,75,25,4,4,5,1
9/27/20,West Ham,Wolves,15,11.5,3,4.5,24.32,25.6,1.11,0.8,33,44.65,44.65,55.35,55.35,39,61,7,15,4,0.467
9/27/20,Wolves,West Ham,10.5,11,2.5,3,44.65,40.42,1.54,1.8,39,24.32,24.32,75.68,75.68,33,67,2,11,0,0.182
9/28/20,Fulham,Aston Villa,9,4,3.5,0,32,28.24,1.33,1.4,38,36.92,29.54,63.08,70.46,35,65,3,16,0,0.188
9/28/20,Aston Villa,Fulham,18,11.5,2,5.5,36.92,29.54,1.43,1.3,35,32,28.24,68,71.76,38,62,5,12,3,0.417
9/28/20,Liverpool,Arsenal,18.5,9.5,4.5,2.5,63.16,38.4,2.16,2.7,65,14.77,14.77,85.23,85.23,15,85,8,21,3,0.381
9/28/20,Arsenal,Liverpool,9.5,5.5,4,2.5,14.77,12,1.14,0.4,15,63.16,63.16,36.84,36.84,65,35,3,4,1,0.75
10/3/20,Chelsea,Crystal Palace,,,,,69.23,45.45,2.16,3.1,67,12.5,12.5,87.5,87.5,13,87,4,15,4,0.267
10/3/20,Crystal Palace,Chelsea,,,,,12.5,12.5,0.99,0,13,69.23,45.45,30.77,54.55,67,33,0,4,0,0
10/3/20,Everton,Brighton,,,,,56.25,42.11,1.81,2.4,51,19.05,18.18,80.95,81.82,51,49,6,11,4,0.545
10/3/20,Brighton,Everton,,,,,19.05,18.18,1.11,0.3,24,56.25,42.11,43.75,57.89,13,87,3,11,2,0.273
10/3/20,Leeds,Man City,,,,,9.09,7.69,1.11,0.3,9,73.33,40,26.67,60,77,23,7,12,1,0.583
10/3/20,Man City,Leeds,,,,,73.33,40,2.81,3.3,77,9.09,7.69,90.91,92.31,9,91,1,23,1,0.043
10/3/20,Newcastle,Burnley,,,,,40,38.1,1.36,1.6,38,31.25,30.77,68.75,69.23,38,62,5,9,3,0.556
10/3/20,Burnley,Newcastle,,,,,31.25,30.77,1.19,0.8,34,40,38.1,60,61.9,77,23,4,10,1,0.4
10/4/20,Leicester,West Ham,,,,,58.82,38.1,1.93,2.4,60,19.05,16.67,80.95,83.33,18,82,0,4,0,0
10/4/20,West Ham,Leicester,,,,,19.05,16.67,1.14,0.4,18,58.82,38.1,41.18,61.9,60,40,6,13,3,0.462
10/4/20,Southampton,West Brom,,,,,56.25,40,1.78,2.2,56,20.83,20,79.17,80,56,44,7,13,2,0.538
10/4/20,West Brom,Southampton,,,,,20.83,20,1.11,0.6,20,56.25,40,43.75,60,18,82,3,5,0,0.6
10/4/20,Arsenal,Sheffield United,,,,,63.64,50,1.83,2.6,58,15.38,18.18,84.62,81.82,18,82,5,6,2,0.833
10/4/20,Sheffield United,Arsenal,,,,,15.38,18.18,0.91,0.1,18,63.64,50,36.36,50,58,42,2,6,1,0.333
10/4/20,Wolves,Fulham,,,,,65.22,66.67,1.81,2.6,56,13.33,20,86.67,80,56,44,5,14,1,0.357
10/4/20,Fulham,Wolves,,,,,13.33,20,0.81,0,19,65.22,66.67,34.78,33.33,18,82,2,10,0,0.2
10/4/20,Man United,Tottenham,,,,,51.11,36.36,1.69,2.1,52,24.39,22.22,75.61,77.78,25,75,2,5,1,0.4
10/4/20,Tottenham,Man United,,,,,24.39,22.22,1.24,0.5,25,51.11,36.36,48.89,63.64,52,48,8,22,6,0.364
10/4/20,Aston Villa,Liverpool,,,,,9.76,10,0.91,0.1,13,73.33,50,26.67,50,13,87,11,18,7,0.611
10/4/20,Liverpool,Aston Villa,,,,,73.33,50,2.27,3.1,69,9.76,10,90.24,90,25,75,8,14,2,0.571
10/17/20,Everton,Liverpool,,,,,24.39,16.67,1.43,0.9,25,52.63,29.41,47.37,70.59,54,46,5,11,2,0.455
10/17/20,Liverpool,Everton,,,,,52.63,29.41,1.93,2.2,54,24.39,16.67,75.61,83.33,25,75,8,22,2,0.364
10/17/20,Chelsea,Southampton,,,,,64.29,38.1,2.04,2.8,64,16,14.29,84,85.71,15,85,5,12,3,0.417
10/17/20,Southampton,Chelsea,,,,,16,14.29,1.16,0.5,15,64.29,38.1,35.71,61.9,64,36,6,13,3,0.462
10/17/20,Man City,Arsenal,,,,,65.22,36.36,2.22,3.1,70,16.13,11.11,83.87,88.89,13,87,5,13,1,0.385
10/17/20,Arsenal,Man City,,,,,16.13,11.11,1.21,0.4,13,65.22,36.36,34.78,63.64,70,30,3,11,0,0.273
10/17/20,Newcastle,Man United,,,,,20,18.18,1.14,0.4,23,57.89,38.1,42.11,61.9,54,46,4,7,1,0.571
10/17/20,Man United,Newcastle,,,,,57.89,38.1,1.86,2.4,54,20,18.18,80,81.82,23,77,11,27,4,0.407
