Date,Team,Opp,Shots/90,OppShotsA/90,SoT/90,Opp_SoTA/90,Win_Odds,CS_Odds,Odds_GF,OddsShark_GF,FiveThirtyEight_Odds,Opp_Odds,Opp_CS_Odds,Opp_Odds_INV,Opp_CS_Odds_INV,Opp_FiveThirtyEight_Odds,Opp_FiveThirtyEight_Odds_INV,Real_SoT,Real_Shots,Real_Goals,SoT%
11/29/20,Lazio,Udinese,,,,,56.50,38.17,1.86,2.4,54,20.00,18.18,80.00,81.82,20,80,,,,
11/29/20,Udinese,Lazio,,,,,20.00,18.18,1.18,0.6,20,56.50,38.17,43.50,61.83,54,46,,,,
11/29/20,Milan,Fiorentina,,,,,57.14,38.17,1.86,2.6,64,20.00,16.67,80.00,83.33,15,85,,,,
11/29/20,Fiorentina,Milan,,,,,20.00,16.67,1.21,0.6,15,57.14,38.17,42.86,61.83,64,36,,,,
11/29/20,Bologna,Crotone,,,,,58.82,38.17,2.01,2.5,49,18.87,15.38,81.13,84.62,24,76,,,,
11/29/20,Crotone,Bologna,,,,,18.87,15.38,1.20,0.6,24,58.82,38.17,41.18,61.83,49,51,,,,
11/29/20,Cagliari,Spezia,,,,,45.05,29.41,1.70,2.4,45,28.17,22.22,71.83,77.78,28,72,,,,
11/29/20,Spezia,Cagliari,,,,,28.17,22.22,1.39,0.6,28,45.05,29.41,54.95,70.59,45,55,,,,
11/29/20,Napoli,Roma,,,,,44.64,26.67,1.79,2.1,44,30.30,20.00,69.70,80.00,30,70,,,,
11/29/20,Roma,Napoli,,,,,30.30,20.00,1.54,1.1,30,44.64,26.67,55.36,73.33,44,56,,,,
11/30/20,Torino,Sampdoria,,,,,38.91,26.67,1.62,1.8,41,35.71,25.00,64.29,75.00,33,67,,,,
11/30/20,Sampdoria,Torino,,,,,35.71,25.00,1.54,1,33,38.91,26.67,61.09,73.33,41,59,,,,
11/30/20,Genoa,Parma,,,,,36.63,28.57,1.42,1.7,41,35.46,28.57,64.54,71.43,31,69,,,,
11/30/20,Parma,Genoa,,,,,35.46,28.57,1.42,1,31,36.63,28.57,63.37,71.43,41,59,,,,
